,Engine,HI,OP1,OP2,OP3,RUL,Sensor1,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor2,Sensor20,Sensor21,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9
18,1,1,0.0032,-0.0003,100,19,518.67,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100,641.79,38.8,23.3464,1587.56,1400.35,14.62,21.61,554.18,2388.04,9053.99
19,1,1,-0.0037,0.0001,100,20,518.67,1.3,47.22,522.07,2388.02,8129.71,8.421,0.03,392,2388,100,643.04,39.03,23.421999999999997,1581.11,1405.23,14.62,21.61,554.81,2388.05,9045.9
20,1,1,-0.0012,0.0001,100,21,518.67,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392,2388,100,642.37,39.09,23.3101,1586.07,1398.13,14.62,21.61,554.08,2388.11,9048.15
21,1,1,0.0002,0.0,100,22,518.67,1.3,47.24,522.0,2388.03,8130.41,8.4034,0.03,392,2388,100,642.77,38.92,23.3792,1592.93,1400.57,14.62,21.61,553.63,2388.04,9061.21
22,1,1,0.0034,-0.0003,100,23,518.67,1.3,47.25,521.52,2388.05,8127.9,8.424,0.03,392,2388,100,642.14,38.94,23.4562,1588.19,1394.75,14.62,21.61,553.98,2388.05,9046.28
23,1,1,-0.001,0.0003,100,24,518.67,1.3,47.44,522.13,2388.03,8133.88,8.3891,0.03,392,2388,100,642.38,39.0,23.3696,1590.83,1398.81,14.62,21.61,553.49,2388.12,9043.76
24,1,1,0.0023,-0.0004,100,25,518.67,1.3,47.36,522.56,2388.02,8136.61,8.3917,0.03,393,2388,100,642.77,38.95,23.4288,1594.1,1399.39,14.62,21.61,554.0,2388.02,9054.16
25,1,1,0.0,0.0002,100,26,518.67,1.3,47.26,522.28,2388.06,8131.15,8.426,0.03,394,2388,100,642.16,38.86,23.4149,1589.08,1396.07,14.62,21.61,554.11,2388.07,9047.11
26,1,1,-0.0012,-0.0004,100,27,518.67,1.3,47.37,522.0,2388.13,8134.6,8.4046,0.03,393,2388,100,642.44,38.99,23.4472,1590.47,1401.84,14.62,21.61,554.07,2388.02,9047.96
27,1,1,-0.0024,0.0005,100,28,518.67,1.3,47.41,522.57,2388.08,8127.3,8.4323,0.03,390,2388,100,642.35,39.01,23.2841,1582.84,1399.13,14.62,21.61,554.68,2388.12,9049.84
28,1,1,0.0012,-0.0001,100,29,518.67,1.3,47.24,522.41,2388.06,8133.06,8.4189,0.03,393,2388,100,641.91,38.93,23.3597,1584.83,1400.99,14.62,21.61,554.25,2388.05,9050.47
29,1,1,-0.0022,0.0,100,30,518.67,1.3,47.4,522.19,2388.0,8137.86,8.4065,0.03,390,2388,100,642.2,39.05,23.410999999999998,1593.52,1396.08,14.62,21.61,554.37,2388.07,9045.62
192,2,1,-0.0018,0.0006,100,1,518.67,1.3,46.93,522.33,2388.06,8137.72,8.3905,0.03,391,2388,100,641.89,38.94,23.4585,1583.84,1391.28,14.62,21.6,554.53,2388.01,9054.72
193,2,1,0.0043,-0.0003,100,2,518.67,1.3,47.24,522.7,2387.98,8131.09,8.4167,0.03,392,2388,100,641.82,39.06,23.4085,1587.05,1393.13,14.62,21.61,554.77,2387.98,9051.31
194,2,1,0.0018,0.0003,100,3,518.67,1.3,47.22,522.58,2387.99,8140.58,8.3802,0.03,391,2388,100,641.55,39.11,23.425,1588.32,1398.96,14.62,21.6,555.14,2388.04,9054.24
195,2,1,0.0035,-0.0004,100,4,518.67,1.3,47.1,522.49,2387.93,8140.44,8.4018,0.03,391,2388,100,641.68,39.13,23.5027,1584.15,1396.08,14.62,21.61,554.25,2387.98,9058.01
196,2,1,0.0005,0.0004,100,5,518.67,1.3,47.25,522.27,2387.94,8136.67,8.3867,0.03,390,2388,100,641.73,39.18,23.4234,1579.03,1402.52,14.62,21.6,555.12,2388.03,9058.15
197,2,1,-0.001,0.0004,100,6,518.67,1.3,47.05,522.8,2387.99,8133.65,8.38,0.03,392,2388,100,641.3,39.15,23.427,1577.5,1396.76,14.62,21.61,554.98,2388.04,9054.07
198,2,1,0.0001,-0.0002,100,7,518.67,1.3,47.1,522.14,2388.04,8136.33,8.3941,0.03,391,2388,100,642.03,39.1,23.4718,1587.49,1400.65,14.62,21.61,554.84,2388.05,9052.67
199,2,1,0.0015,-0.0004,100,8,518.67,1.3,47.2,522.77,2387.96,8137.92,8.3861,0.03,391,2388,100,642.55,39.11,23.4381,1590.41,1395.39,14.62,21.61,554.65,2388.01,9055.82
200,2,1,0.0017,-0.0004,100,9,518.67,1.3,47.14,522.4,2387.98,8145.29,8.3868,0.03,390,2388,100,641.98,39.06,23.4875,1581.99,1395.01,14.62,21.6,554.69,2388.02,9051.67
201,2,1,-0.0045,0.0002,100,10,518.67,1.3,47.21,521.99,2387.97,8138.64,8.3982,0.03,391,2388,100,641.99,39.2,23.6005,1586.37,1394.86,14.62,21.6,554.63,2387.99,9058.88
202,2,1,0.0006,0.0004,100,11,518.67,1.3,47.21,522.2,2388.03,8135.85,8.4188,0.03,392,2388,100,642.26,39.23,23.3888,1589.21,1401.29,14.62,21.61,554.7,2388.01,9053.21
203,2,1,0.0002,0.0006,100,12,518.67,1.3,47.13,521.94,2387.97,8136.49,8.3925,0.03,392,2388,100,641.64,39.12,23.4201,1579.99,1401.9,14.62,21.61,554.57,2387.98,9047.89
204,2,1,0.0007,0.0005,100,13,518.67,1.3,47.03,522.33,2387.99,8140.61,8.3742,0.03,391,2388,100,641.78,38.88,23.4317,1586.77,1401.53,14.62,21.61,554.69,2387.94,9053.63
205,2,1,-0.0024,-0.0004,100,14,518.67,1.3,47.12,523.07,2387.98,8140.09,8.3887,0.03,391,2388,100,641.66,38.93,23.4074,1584.04,1395.46,14.62,21.61,554.47,2388.01,9047.3
206,2,1,-0.0012,-0.0003,100,15,518.67,1.3,47.17,521.96,2388.02,8137.72,8.3704,0.03,393,2388,100,642.21,38.94,23.4311,1579.84,1402.11,14.62,21.61,554.17,2388.02,9049.82
207,2,1,-0.001,0.0003,100,16,518.67,1.3,47.24,522.49,2387.95,8133.45,8.3805,0.03,392,2388,100,641.81,39.01,23.4462,1581.99,1393.46,14.62,21.61,554.53,2387.99,9051.79
208,2,1,0.0003,-0.0001,100,17,518.67,1.3,47.13,522.71,2388.08,8134.78,8.3714,0.03,391,2388,100,642.43,39.04,23.5245,1583.58,1390.27,14.62,21.61,553.62,2388.04,9052.05
209,2,1,0.0014,0.0001,100,18,518.67,1.3,47.22,522.92,2388.0,8133.2,8.4053,0.03,391,2388,100,641.95,39.0,23.4203,1588.43,1400.25,14.62,21.61,554.83,2388.0,9051.35
210,2,1,0.0025,0.0001,100,19,518.67,1.3,47.14,522.38,2387.98,8137.51,8.4035,0.03,392,2388,100,641.75,39.1,23.4102,1576.84,1401.77,14.62,21.61,555.25,2388.02,9055.07
211,2,1,0.0042,-0.0004,100,20,518.67,1.3,47.14,522.54,2387.94,8139.83,8.3698,0.03,391,2388,100,642.34,39.02,23.3821,1582.94,1394.38,14.62,21.61,554.64,2388.0,9050.27
212,2,1,-0.0023,0.0001,100,21,518.67,1.3,47.04,522.58,2388.01,8136.57,8.3954,0.03,391,2388,100,642.05,39.24,23.5014,1579.51,1392.28,14.62,21.61,554.72,2388.03,9055.29
213,2,1,0.0024,0.0006,100,22,518.67,1.3,47.17,521.73,2388.04,8140.79,8.3792,0.03,391,2388,100,642.16,38.98,23.4241,1580.18,1397.67,14.62,21.61,554.35,2387.96,9053.31
214,2,1,-0.0013,0.0003,100,23,518.67,1.3,47.21,522.26,2388.07,8131.57,8.3937,0.03,393,2388,100,642.37,39.1,23.2867,1580.89,1387.5,14.62,21.61,554.69,2387.96,9051.43
215,2,1,-0.0019,0.0,100,24,518.67,1.3,47.15,522.25,2387.97,8136.16,8.3866,0.03,391,2388,100,641.99,39.18,23.3981,1580.97,1398.67,14.62,21.61,553.5,2387.98,9052.35
216,2,1,0.0063,0.0001,100,25,518.67,1.3,47.19,522.31,2388.03,8136.97,8.3959,0.03,391,2388,100,641.81,38.99,23.4883,1585.38,1396.62,14.62,21.61,554.14,2388.0,9055.28
217,2,1,-0.0011,0.0003,100,26,518.67,1.3,47.12,522.8,2388.0,8137.27,8.3472,0.03,391,2388,100,641.87,38.96,23.4691,1575.38,1392.3,14.62,21.61,554.03,2387.98,9050.81
218,2,1,0.0006,0.0005,100,27,518.67,1.3,47.03,522.11,2388.06,8137.73,8.4077,0.03,392,2388,100,642.12,38.96,23.4275,1585.44,1402.31,14.62,21.61,555.16,2388.03,9058.01
219,2,1,0.0037,0.0005,100,28,518.67,1.3,46.99,522.68,2387.93,8136.55,8.3734,0.03,390,2388,100,642.04,38.95,23.4395,1581.6,1397.45,14.62,21.61,554.77,2387.99,9053.78
220,2,1,-0.0032,-0.0003,100,29,518.67,1.3,47.11,522.26,2388.02,8140.77,8.37,0.03,390,2388,100,642.08,38.97,23.4249,1583.78,1398.08,14.62,21.61,554.75,2388.0,9055.84
221,2,1,0.0012,0.0,100,30,518.67,1.3,47.2,522.43,2388.0,8136.63,8.419,0.03,391,2388,100,641.78,39.1,23.3985,1590.32,1395.07,14.62,21.61,554.62,2387.98,9050.8
479,3,1,0.0008,0.0005,100,1,518.67,1.3,47.14,522.24,2388.0,8138.4,8.4207,0.03,391,2388,100,642.04,38.96,23.3205,1584.2,1398.13,14.62,21.61,553.96,2388.06,9056.95
480,3,1,-0.001,0.0,100,2,518.67,1.3,47.35,522.03,2388.01,8137.38,8.3949,0.03,390,2388,100,642.66,39.07,23.4369,1587.04,1398.62,14.62,21.61,554.76,2388.05,9059.67
481,3,1,0.0013,-0.0002,100,3,518.67,1.3,46.94,522.16,2388.01,8137.2,8.382,0.03,393,2388,100,642.07,39.03,23.3162,1580.75,1401.1,14.62,21.61,554.51,2388.03,9050.43
482,3,1,0.0008,-0.0002,100,4,518.67,1.3,47.44,522.31,2388.07,8139.35,8.394,0.03,391,2388,100,642.5,38.94,23.4901,1580.12,1395.76,14.62,21.61,554.48,2388.07,9060.43
483,3,1,0.002,0.0004,100,5,518.67,1.3,47.16,522.0,2388.03,8135.99,8.4233,0.03,391,2388,100,641.97,38.9,23.419,1581.48,1394.05,14.62,21.61,554.14,2388.01,9054.36
484,3,1,-0.001,-0.0003,100,6,518.67,1.3,47.12,522.58,2388.08,8137.99,8.4126,0.03,392,2388,100,642.65,39.04,23.4656,1581.26,1397.98,14.62,21.61,554.86,2388.08,9048.62
485,3,1,-0.0018,-0.0003,100,7,518.67,1.3,47.26,522.08,2388.01,8141.85,8.4369,0.03,393,2388,100,642.62,39.03,23.4051,1583.68,1405.76,14.62,21.61,554.29,2388.06,9051.91
486,3,1,0.0017,-0.0005,100,8,518.67,1.3,47.13,521.87,2388.06,8141.47,8.4197,0.03,392,2388,100,642.23,38.85,23.3564,1581.6,1401.86,14.62,21.61,554.11,2388.0,9059.59
487,3,1,0.0,0.0003,100,9,518.67,1.3,47.16,522.47,2388.09,8136.84,8.4151,0.03,392,2388,100,642.6,39.02,23.3873,1581.04,1398.3,14.62,21.61,554.61,2387.99,9060.04
488,3,1,-0.0009,0.0003,100,10,518.67,1.3,47.22,522.4,2388.05,8130.42,8.4063,0.03,392,2388,100,642.72,38.96,23.3129,1582.2,1400.07,14.62,21.61,554.28,2388.0,9053.42
489,3,1,-0.0009,0.0002,100,11,518.67,1.3,47.4,522.02,2388.01,8138.08,8.4237,0.03,391,2388,100,641.94,38.8,23.4161,1591.43,1400.59,14.62,21.61,554.88,2388.03,9051.86
490,3,1,-0.0029,0.0003,100,12,518.67,1.3,47.17,522.07,2388.02,8141.09,8.3779,0.03,393,2388,100,642.61,38.9,23.3028,1583.92,1404.93,14.62,21.61,553.45,2388.06,9049.23
491,3,1,0.0002,0.0003,100,13,518.67,1.3,47.25,522.26,2388.06,8138.75,8.3743,0.03,390,2388,100,642.63,39.16,23.3372,1583.25,1403.52,14.62,21.61,555.25,2388.03,9057.09
492,3,1,0.0,0.0004,100,14,518.67,1.3,47.27,521.69,2387.99,8141.57,8.4339,0.03,391,2388,100,642.16,38.9,23.3506,1591.03,1396.35,14.62,21.61,554.31,2388.02,9056.59
493,3,1,-0.0015,0.0001,100,15,518.67,1.3,47.15,522.0,2388.06,8138.07,8.4311,0.03,390,2388,100,641.83,39.02,23.2825,1585.29,1398.77,14.62,21.61,554.36,2388.05,9058.29
494,3,1,-0.0064,-0.0002,100,16,518.67,1.3,47.26,522.25,2387.97,8137.26,8.4147,0.03,391,2388,100,642.65,38.94,23.4078,1589.05,1392.15,14.62,21.61,554.17,2388.05,9051.12
495,3,1,-0.0018,-0.0001,100,17,518.67,1.3,47.35,522.37,2387.99,8140.24,8.4018,0.03,393,2388,100,642.78,39.13,23.4031,1588.94,1395.76,14.62,21.61,553.74,2388.0,9051.79
496,3,1,-0.0013,-0.0005,100,18,518.67,1.3,47.38,521.8,2388.05,8141.53,8.4244,0.03,390,2388,100,642.26,39.0,23.3709,1584.36,1402.3,14.62,21.61,554.52,2388.0,9055.82
497,3,1,0.0029,-0.0004,100,19,518.67,1.3,47.23,522.18,2387.99,8144.32,8.413,0.03,391,2388,100,642.05,39.12,23.4505,1580.67,1402.82,14.62,21.61,553.99,2388.03,9051.22
498,3,1,-0.002,-0.0002,100,20,518.67,1.3,47.1,522.29,2388.03,8135.13,8.398,0.03,391,2388,100,642.25,38.93,23.3357,1580.73,1394.57,14.62,21.61,554.54,2388.06,9047.08
499,3,1,-0.0006,0.0004,100,21,518.67,1.3,47.27,522.67,2387.98,8138.16,8.4302,0.03,392,2388,100,642.18,39.13,23.3923,1586.78,1398.83,14.62,21.61,554.32,2388.02,9052.89
500,3,1,-0.0052,-0.0001,100,22,518.67,1.3,47.3,522.53,2388.02,8141.91,8.432,0.03,392,2388,100,642.34,39.09,23.4213,1589.55,1405.28,14.62,21.61,554.71,2388.06,9060.66
501,3,1,-0.0004,-0.0002,100,23,518.67,1.3,47.12,522.22,2388.05,8133.61,8.3839,0.03,392,2388,100,642.07,38.94,23.3791,1585.2,1395.59,14.62,21.61,554.04,2387.99,9058.17
502,3,1,-0.0038,-0.0002,100,24,518.67,1.3,47.26,521.66,2388.05,8140.94,8.3768,0.03,391,2388,100,642.24,38.81,23.3903,1585.08,1395.73,14.62,21.61,554.65,2388.05,9047.82
503,3,1,-0.0005,-0.0004,100,25,518.67,1.3,47.17,522.15,2387.98,8134.79,8.3845,0.03,391,2388,100,642.24,38.9,23.4004,1579.4,1390.93,14.62,21.61,554.21,2388.05,9055.08
504,3,1,-0.0023,-0.0005,100,26,518.67,1.3,47.28,521.93,2388.05,8140.65,8.4062,0.03,391,2388,100,641.61,39.01,23.2767,1586.92,1401.63,14.62,21.61,553.9,2388.04,9047.81
505,3,1,0.001,0.0002,100,27,518.67,1.3,47.17,521.69,2388.04,8138.31,8.4095,0.03,392,2388,100,642.36,38.97,23.3769,1581.83,1400.85,14.62,21.61,554.67,2388.03,9058.62
506,3,1,0.0001,0.0,100,28,518.67,1.3,47.22,522.27,2388.03,8131.13,8.3998,0.03,392,2388,100,641.48,38.91,23.4092,1590.59,1400.68,14.62,21.61,553.51,2388.04,9054.91
507,3,1,0.0038,0.0004,100,29,518.67,1.3,47.24,522.15,2387.99,8135.88,8.4387,0.03,392,2388,100,642.01,39.15,23.3378,1584.71,1396.05,14.62,21.61,554.94,2388.03,9056.29
508,3,1,0.0012,0.0004,100,30,518.67,1.3,47.23,522.35,2388.04,8140.32,8.3927,0.03,392,2388,100,642.21,39.01,23.3824,1584.95,1398.1,14.62,21.61,554.05,2388.01,9051.75
658,4,1,0.0025,0.0005,100,1,518.67,1.3,47.29,521.94,2388.07,8131.5,8.42,0.03,393,2388,100,642.6,39.04,23.3814,1585.4,1402.85,14.62,21.61,553.97,2388.06,9051.1
659,4,1,0.0002,-0.0004,100,2,518.67,1.3,47.35,521.7,2388.04,8129.53,8.3999,0.03,391,2388,100,642.45,39.02,23.4437,1583.54,1410.36,14.62,21.61,554.62,2388.06,9048.41
660,4,1,-0.0025,0.0,100,3,518.67,1.3,47.4,521.35,2388.09,8131.24,8.415,0.03,391,2388,100,642.16,38.96,23.3314,1586.59,1398.65,14.62,21.61,553.52,2388.08,9052.57
661,4,1,0.0024,-0.0003,100,4,518.67,1.3,47.39,522.0,2388.01,8132.9,8.4309,0.03,392,2388,100,642.73,38.87,23.4338,1583.96,1400.32,14.62,21.61,553.58,2388.08,9047.7
662,4,1,0.0012,-0.0002,100,5,518.67,1.3,47.26,521.35,2388.11,8126.94,8.4164,0.03,393,2388,100,642.11,38.91,23.2896,1590.62,1399.42,14.62,21.61,552.91,2388.1,9046.98
663,4,1,0.0023,0.0005,100,6,518.67,1.3,47.18,521.9,2388.09,8136.69,8.4313,0.03,392,2388,100,642.46,38.94,23.3491,1588.76,1407.78,14.62,21.61,553.12,2388.04,9048.78
664,4,1,-0.002,0.0002,100,7,518.67,1.3,47.45,521.96,2388.08,8130.68,8.4372,0.03,393,2388,100,642.26,38.87,23.4134,1586.91,1404.44,14.62,21.61,554.42,2388.06,9053.53
665,4,1,0.0014,-0.0004,100,8,518.67,1.3,47.24,521.77,2388.06,8134.3,8.4169,0.03,393,2388,100,641.97,38.91,23.4044,1584.18,1406.22,14.62,21.61,553.93,2388.05,9048.79
666,4,1,0.0059,0.0005,100,9,518.67,1.3,47.43,522.23,2388.0,8132.18,8.388,0.03,393,2388,100,642.59,38.88,23.3179,1584.78,1403.51,14.62,21.61,553.78,2388.06,9051.3
667,4,1,0.0006,-0.0003,100,10,518.67,1.3,47.5,521.54,2388.09,8131.5,8.4233,0.03,392,2388,100,642.78,38.94,23.3154,1586.0,1400.12,14.62,21.61,553.54,2388.06,9050.49
668,4,1,0.0034,0.0003,100,11,518.67,1.3,47.31,522.35,2388.06,8130.08,8.4134,0.03,394,2388,100,642.21,39.21,23.4153,1588.75,1395.79,14.62,21.61,553.58,2388.07,9049.29
669,4,1,0.0014,-0.0001,100,12,518.67,1.3,47.35,521.77,2388.05,8129.83,8.4208,0.03,394,2388,100,642.63,38.93,23.2962,1584.33,1403.67,14.62,21.61,554.39,2388.09,9053.08
670,4,1,-0.0018,0.0005,100,13,518.67,1.3,47.29,521.78,2388.06,8127.22,8.433,0.03,392,2388,100,642.24,38.87,23.3162,1587.74,1395.23,14.62,21.61,553.5,2388.06,9053.94
671,4,1,-0.0019,0.0005,100,14,518.67,1.3,47.49,521.91,2388.07,8134.1,8.4236,0.03,393,2388,100,642.62,38.92,23.4073,1583.38,1407.62,14.62,21.61,553.65,2388.05,9045.65
672,4,1,-0.0021,-0.0001,100,15,518.67,1.3,47.35,521.98,2388.05,8132.16,8.4369,0.03,392,2388,100,642.47,38.91,23.3439,1592.08,1401.13,14.62,21.61,554.7,2388.03,9050.65
673,4,1,0.0014,-0.0001,100,16,518.67,1.3,47.3,521.66,2388.08,8125.32,8.4203,0.03,393,2388,100,642.17,39.04,23.313000000000002,1585.39,1409.84,14.62,21.61,554.72,2388.09,9049.49
674,4,1,0.0014,0.0004,100,17,518.67,1.3,47.39,522.35,2388.06,8129.65,8.4309,0.03,392,2388,100,642.06,38.95,23.2397,1587.82,1406.43,14.62,21.61,553.57,2388.1,9050.63
675,4,1,0.0002,-0.0002,100,18,518.67,1.3,47.52,521.96,2388.09,8132.26,8.4229,0.03,393,2388,100,642.36,39.01,23.2961,1589.62,1403.75,14.62,21.61,554.23,2388.08,9047.81
676,4,1,-0.0029,0.0005,100,19,518.67,1.3,47.28,521.95,2388.08,8138.08,8.4111,0.03,392,2388,100,643.02,39.1,23.2799,1589.9,1406.34,14.62,21.61,553.62,2388.02,9051.51
677,4,1,0.0022,-0.0003,100,20,518.67,1.3,47.26,521.62,2388.08,8128.24,8.3897,0.03,392,2388,100,642.53,38.91,23.3725,1589.76,1401.19,14.62,21.61,553.97,2388.05,9047.8
678,4,1,-0.0029,-0.0001,100,21,518.67,1.3,47.33,521.5,2388.07,8139.62,8.4263,0.03,393,2388,100,642.49,38.97,23.2878,1593.11,1398.49,14.62,21.61,554.01,2388.05,9056.58
679,4,1,0.0025,-0.0003,100,22,518.67,1.3,47.7,521.78,2388.05,8131.9,8.3904,0.03,391,2388,100,642.68,39.17,23.2002,1594.65,1405.05,14.62,21.61,554.28,2388.09,9047.38
680,4,1,0.0022,0.0,100,23,518.67,1.3,47.44,521.97,2388.03,8134.54,8.4255,0.03,395,2388,100,642.41,39.12,23.3787,1592.74,1401.8,14.62,21.61,554.49,2388.14,9049.85
681,4,1,0.0022,-0.0002,100,24,518.67,1.3,47.46,522.11,2388.09,8127.73,8.4394,0.03,390,2388,100,642.51,38.69,23.2943,1589.01,1400.24,14.62,21.61,553.74,2388.08,9056.76
682,4,1,0.0011,-0.0004,100,25,518.67,1.3,47.52,521.87,2388.13,8129.9,8.3954,0.03,391,2388,100,642.05,38.81,23.3862,1592.65,1399.14,14.62,21.61,554.33,2388.04,9052.67
683,4,1,0.0031,0.0001,100,26,518.67,1.3,47.21,521.71,2388.08,8138.85,8.4235,0.03,393,2388,100,642.35,38.95,23.338,1589.28,1399.54,14.62,21.61,553.62,2388.07,9049.02
684,4,1,0.0022,0.0001,100,27,518.67,1.3,47.37,522.37,2388.1,8135.0,8.4328,0.03,392,2388,100,642.08,38.85,23.3876,1582.09,1402.27,14.62,21.61,553.71,2388.05,9056.66
685,4,1,-0.0002,0.0001,100,28,518.67,1.3,47.61,521.72,2388.11,8131.59,8.4004,0.03,390,2388,100,642.59,38.84,23.2796,1583.69,1400.85,14.62,21.61,553.79,2388.09,9049.03
686,4,1,-0.0002,0.0,100,29,518.67,1.3,47.42,521.56,2388.08,8131.82,8.418,0.03,393,2388,100,642.34,38.91,23.3161,1585.53,1401.61,14.62,21.61,554.14,2388.07,9049.24
687,4,1,-0.0011,-0.0002,100,30,518.67,1.3,47.57,521.68,2388.08,8131.94,8.4294,0.03,391,2388,100,642.7,38.79,23.357,1584.4,1403.21,14.62,21.61,554.09,2388.1,9055.69
847,5,1,0.0031,0.0002,100,1,518.67,1.3,47.19,522.34,2388.0,8152.22,8.4102,0.03,393,2388,100,641.77,38.98,23.4468,1583.59,1395.26,14.62,21.61,554.39,2387.98,9066.49
848,5,1,0.0002,0.0003,100,2,518.67,1.3,47.09,522.6,2387.99,8153.04,8.4053,0.03,392,2388,100,642.42,39.12,23.4075,1589.69,1394.88,14.62,21.61,555.57,2388.01,9063.03
849,5,1,0.0002,-0.0005,100,3,518.67,1.3,47.11,522.85,2388.02,8148.42,8.399,0.03,393,2388,100,642.07,39.18,23.3298,1582.45,1396.29,14.62,21.61,554.49,2388.01,9068.21
850,5,1,0.0017,-0.0004,100,4,518.67,1.3,47.29,522.11,2387.99,8148.81,8.3876,0.03,390,2388,100,642.08,39.22,23.4306,1586.84,1397.94,14.62,21.61,555.16,2387.96,9070.56
851,5,1,-0.0007,0.0001,100,5,518.67,1.3,47.09,522.6,2387.95,8147.69,8.4129,0.03,390,2388,100,642.03,39.17,23.3331,1581.45,1394.28,14.62,21.61,554.59,2387.98,9069.25
852,5,1,0.0018,0.0002,100,6,518.67,1.3,47.16,522.87,2388.02,8148.03,8.4204,0.03,393,2388,100,642.32,39.0,23.3878,1586.1,1390.56,14.62,21.61,554.53,2388.03,9062.14
853,5,1,0.0019,0.0001,100,7,518.67,1.3,47.14,522.52,2388.0,8151.1,8.3913,0.03,393,2388,100,642.78,39.2,23.381999999999998,1585.21,1399.1,14.62,21.6,554.85,2387.92,9069.18
